name,peopleNumber,detailLink,publishTime,positionInfo,workLocation
SNG02-腾讯云地产行业总监（深圳）,,position_detail.php?id=43478&keywords=&tid=0&lid=0,,,
23672-腾讯娱乐深度记者（北京）,,position_detail.php?id=43479&keywords=&tid=0&lid=0,,,
MIG09-浏览器资讯推荐高级算法工程师（深圳）,,position_detail.php?id=43472&keywords=&tid=0&lid=0,,,
24987-高级手游客户端开发工程师,,position_detail.php?id=43476&keywords=&tid=0&lid=0,,,
SNG16-全民k歌推荐后端研发工程师（深圳）,,position_detail.php?id=43465&keywords=&tid=0&lid=0,,,
OMG097-数据平台开发工程师（北京）,,position_detail.php?id=43466&keywords=&tid=0&lid=0,,,
23516-市场分析（深圳）,,position_detail.php?id=43469&keywords=&tid=0&lid=0,,,
SA-腾讯社交广告转化数据应用产品经理（北京）,,position_detail.php?id=43470&keywords=&tid=0&lid=0,,,
SNG08-微视产品合作经理（深圳）,,position_detail.php?id=43459&keywords=&tid=0&lid=0,,,
21882-高级医学编辑,,position_detail.php?id=43460&keywords=&tid=0&lid=0,,,
MIG-招聘经理（深圳）,,position_detail.php?id=43463&keywords=&tid=0&lid=0,,,
22851-腾讯视频时尚频道明星编辑,,position_detail.php?id=43452&keywords=&tid=0&lid=0,,,
MIG16-高级项目经理（北京）,,position_detail.php?id=43454&keywords=&tid=0&lid=0,,,
SNG08-社群运营经理,,position_detail.php?id=43456&keywords=&tid=0&lid=0,,,
24987-次世代3D游戏动画（上海）,,position_detail.php?id=43447&keywords=&tid=0&lid=0,,,
SNG07-业务高级系统测试工程师,,position_detail.php?id=43449&keywords=&tid=0&lid=0,,,
22851-腾讯视频美容编辑,,position_detail.php?id=43442&keywords=&tid=0&lid=0,,,
17759-游戏运营后台开发,,position_detail.php?id=43444&keywords=&tid=0&lid=0,,,
18402-RPG手游本地化策划（深圳）,,position_detail.php?id=43436&keywords=&tid=0&lid=0,,,
15611-MOBA手游高级社区运营策划（深圳）,,position_detail.php?id=43439&keywords=&tid=0&lid=0,,,
21557-产品运营经理（游戏语音云服务方向）,,position_detail.php?id=43441&keywords=&tid=0&lid=0,,,
23673-短视频热点运营（北京）,,position_detail.php?id=43429&keywords=&tid=0&lid=0,,,
21530-腾讯音乐组织发展经理（深圳）,,position_detail.php?id=43431&keywords=&tid=0&lid=0,,,
25927-云测产品经理（上海）,,position_detail.php?id=43433&keywords=&tid=0&lid=0,,,
18402-RPG手游运营组长（深圳）,,position_detail.php?id=43435&keywords=&tid=0&lid=0,,,
SNG07-智慧零售测试工程师（深圳/成都）,,position_detail.php?id=43425&keywords=&tid=0&lid=0,,,
SNG07-看点系统测试工程师（深圳）,,position_detail.php?id=43426&keywords=&tid=0&lid=0,,,
18425-商业分析经理,,position_detail.php?id=43419&keywords=&tid=0&lid=0,,,
WXG01-321 商务拓展经理（广州）,,position_detail.php?id=43420&keywords=&tid=0&lid=0,,,
21309-在线教育iOS开发工程师（深圳）,,position_detail.php?id=43422&keywords=&tid=0&lid=0,,,
17759-腾讯视频商城采购经理（北京）,,position_detail.php?id=43411&keywords=&tid=0&lid=0,,,
21309-高级项目经理（深圳）,,position_detail.php?id=43412&keywords=&tid=0&lid=0,,,
21309-Next 自研课程高级教研经理（深圳）,,position_detail.php?id=43414&keywords=&tid=0&lid=0,,,
21309-在线教育高级后台开发工程师（深圳）,,position_detail.php?id=43416&keywords=&tid=0&lid=0,,,
OMG148-产品运营（北京）,,position_detail.php?id=43404&keywords=&tid=0&lid=0,,,
MIG09-QQ浏览器资讯推荐算法高级工程师（北京）,,position_detail.php?id=43405&keywords=&tid=0&lid=0,,,
15579-游戏后台开发工程师（深圳）,,position_detail.php?id=43406&keywords=&tid=0&lid=0,,,
17759-游戏产品运营,,position_detail.php?id=43409&keywords=&tid=0&lid=0,,,
28601-211 微信支付保险行业运营经理（深圳）,,position_detail.php?id=43398&keywords=&tid=0&lid=0,,,
18796-后台开发工程师（深圳）,,position_detail.php?id=43401&keywords=&tid=0&lid=0,,,
23516-客户关系管理(深圳）,,position_detail.php?id=43403&keywords=&tid=0&lid=0,,,
20503-优图项目经理（上海）,,position_detail.php?id=43391&keywords=&tid=0&lid=0,,,
24491-王者荣耀海外版-海外高级运营经理（深圳）,,position_detail.php?id=43392&keywords=&tid=0&lid=0,,,
28601-211 微信支付餐饮行业运营经理（深圳）,,position_detail.php?id=43395&keywords=&tid=0&lid=0,,,
28601-211 微信支付电商行业运营经理（深圳）,,position_detail.php?id=43396&keywords=&tid=0&lid=0,,,
SA-腾讯社交广告SMB婚纱行业运营经理（北京）,,position_detail.php?id=43385&keywords=&tid=0&lid=0,,,
WXG11-122 微信读书平台内容运营经理（广州）,,position_detail.php?id=43387&keywords=&tid=0&lid=0,,,
WXG11-117 微信读书iOS开发工程师（广州）,,position_detail.php?id=43388&keywords=&tid=0&lid=0,,,
21530-腾讯音乐高级员工关系经理（深圳）,,position_detail.php?id=43380&keywords=&tid=0&lid=0,,,
21530-腾讯音乐企业文化经理（深圳）,,position_detail.php?id=43381&keywords=&tid=0&lid=0,,,
MIG16-地图导航引擎开发工程师（北京）,,position_detail.php?id=43373&keywords=&tid=0&lid=0,,,
WXG10-212 企业微信高级产品策划经理（广州）,,position_detail.php?id=43374&keywords=&tid=0&lid=0,,,
WXG07-113 广州研发部后台开发工程师（广州）,,position_detail.php?id=43375&keywords=&tid=0&lid=0,,,
TEG15-项目管理工程师（深圳）,,position_detail.php?id=43377&keywords=&tid=0&lid=0,,,
MIG03-大屏浏览器组视觉设计师（北京）,,position_detail.php?id=43367&keywords=&tid=0&lid=0,,,
WXG10-321 企业微信商务推广经理（建筑/房地产行业）,,position_detail.php?id=43369&keywords=&tid=0&lid=0,,,
17467-剧综娱乐营销（上海）,,position_detail.php?id=43371&keywords=&tid=0&lid=0,,,
23295-互娱内容渠道运营经理（深圳）,,position_detail.php?id=43359&keywords=&tid=0&lid=0,,,
22086-腾讯体育会员内容运营（北京）,,position_detail.php?id=43362&keywords=&tid=0&lid=0,,,
SNG11-高级数据分析师（深圳）,,position_detail.php?id=43364&keywords=&tid=0&lid=0,,,
17520-互娱游戏玩法策划(深圳),,position_detail.php?id=43353&keywords=&tid=0&lid=0,,,
SNG17-手Q轻游戏移动客户端开发（深圳）,,position_detail.php?id=43355&keywords=&tid=0&lid=0,,,
19332-企业产品交互设计师（上海）,,position_detail.php?id=43356&keywords=&tid=0&lid=0,,,
21309-在线教育Go后台工程师（深圳）,,position_detail.php?id=43358&keywords=&tid=0&lid=0,,,
OMG148-小游戏开发工程师（北京）,,position_detail.php?id=43346&keywords=&tid=0&lid=0,,,
OMG148-数据抓取工程师（北京）,,position_detail.php?id=43348&keywords=&tid=0&lid=0,,,
25663-金融云交付项目经理（深圳）,,position_detail.php?id=43350&keywords=&tid=0&lid=0,,,
OMG192-全国渠道中心项目管理岗（上海）,,position_detail.php?id=43341&keywords=&tid=0&lid=0,,,
22989-腾讯云用户运营,,position_detail.php?id=43343&keywords=&tid=0&lid=0,,,
GY0-VOOV Andriod开发工程师（深圳）,,position_detail.php?id=43335&keywords=&tid=0&lid=0,,,
SNG11-SNG高级分布式存储开发工程师（深圳）,,position_detail.php?id=43338&keywords=&tid=0&lid=0,,,
15616-3D动画设计(上海）,,position_detail.php?id=43329&keywords=&tid=0&lid=0,,,
14914-商业分析师,,position_detail.php?id=43332&keywords=&tid=0&lid=0,,,
TEG06-Web前端高级开发工程师（深圳）,,position_detail.php?id=43320&keywords=&tid=0&lid=0,,,
MIG06-应用宝积分体系产品策划（深圳）,,position_detail.php?id=43323&keywords=&tid=0&lid=0,,,
21882-后台开发,,position_detail.php?id=43324&keywords=&tid=0&lid=0,,,
21882-医学NLP研究员,,position_detail.php?id=43326&keywords=&tid=0&lid=0,,,
22989-数据建模师（深圳）,,position_detail.php?id=43314&keywords=&tid=0&lid=0,,,
18436-java高级工程师（深圳）,,position_detail.php?id=43315&keywords=&tid=0&lid=0,,,
20503-安防线后台开发工程师（上海）,,position_detail.php?id=43317&keywords=&tid=0&lid=0,,,
MIG07-移动客户端开发工程师,,position_detail.php?id=43318&keywords=&tid=0&lid=0,,,
24548-腾讯视频商业化产品市场经理,,position_detail.php?id=43310&keywords=&tid=0&lid=0,,,
艺人经纪商务经理,,position_detail.php?id=43311&keywords=&tid=0&lid=0,,,
25928-游戏客户端开发Leader（上海）,,position_detail.php?id=43301&keywords=&tid=0&lid=0,,,
22968-华北饮料行业销售（北京）,,position_detail.php?id=43307&keywords=&tid=0&lid=0,,,
SNG08-微视视频推荐后台开发（深圳）,,position_detail.php?id=43298&keywords=&tid=0&lid=0,,,
23673-生活编辑（北京）,,position_detail.php?id=43299&keywords=&tid=0&lid=0,,,
21645-腾讯互联网金融高级法律顾问（理财产品方向）,,position_detail.php?id=43290&keywords=&tid=0&lid=0,,,
